Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,569.940728793286
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4094.36020359235
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4473.48744799511
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,39639.386021211
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3886.47849419391
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13017.3103875487
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,11227.8384960848
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3124.78401786195
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,24289.1415161326
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51801.0489492732
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,46593.3892166807
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5842.80578358576
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,21920.5165867583
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20386.0175551116
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,760.331935200195
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15901.4329353355
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5818.8548592158
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,44360.9016865863
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4344.13666906088
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,690.002281084204
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,88207.3275597322
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2201.29307778936
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1981.16010525701
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4392.79262538464
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6244.006548817
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,11124.0768823607
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31453.0059440482
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,6580.81387480713
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,574.458089293656
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,214.230985038468
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3393.92721226559
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,782.692789877004
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1147.2423467852
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,47463.6311923649
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,446.800204552837
