Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2005 [YR2005],2010 [YR2010]
GINI index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Albania,ALB,..,30.6,..
GINI index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Andorra,ADO,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Angola,AGO,51.96,..,..
GINI index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Argentina,ARG,51.06,49.27,44.5
GINI index (World Bank estimate),SI.POV.GINI,Armenia,ARM,..,35.99,31.07
GINI index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Australia,AUS,..,..,34.94
GINI index (World Bank estimate),SI.POV.GINI,Austria,AUT,..,28.72,30.25
GINI index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..,16.64,..
GINI index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,33.06,32.73,31.98
GINI index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Belarus,BLR,29.72,27.78,27.72
GINI index (World Bank estimate),SI.POV.GINI,Belgium,BEL,..,29.88,28.53
GINI index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Benin,BEN,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,63,58.47,..
GINI index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Brazil,BRA,..,56.64,..
GINI index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,..,..,35.65
GINI index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,..,..,33.44
GINI index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Canada,CAN,33.65,..,33.68
GINI index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chad,TCD,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chile,CHL,55.25,..,..
GINI index (World Bank estimate),SI.POV.GINI,China,CHN,..,42.48,42.06
GINI index (World Bank estimate),SI.POV.GINI,Colombia,COL,58.68,55.04,55.5
GINI index (World Bank estimate),SI.POV.GINI,Comoros,COM,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",ZAR,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,..,47.33,..
GINI index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,47.44,47.77,48.1
GINI index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Croatia,HRV,31.33,..,27.35
GINI index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,..,30.26,31.46
GINI index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,..,26.95,26.63
GINI index (World Bank estimate),SI.POV.GINI,Denmark,DNK,..,25.94,29.02
GINI index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominica,DMA,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,52.01,49.96,47.2
GINI index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,56.38,54.12,49.25
GINI index (World Bank estimate),SI.POV.GINI,"Egypt, Arab Rep.",EGY,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,51.31,47.88,44.53
GINI index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Estonia,EST,35.78,33.63,32.16
GINI index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,..,..,33.17
GINI index (World Bank estimate),SI.POV.GINI,Faeroe Islands,FRO,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Fiji,FJI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Finland,FIN,..,27.64,27.74
GINI index (World Bank estimate),SI.POV.GINI,France,FRA,..,29.93,33.78
GINI index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Gabon,GAB,..,42.18,..
GINI index (World Bank estimate),SI.POV.GINI,"Gambia, The",GMB,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Georgia,GEO,40.48,40.34,42.13
GINI index (World Bank estimate),SI.POV.GINI,Germany,DEU,..,..,31.14
GINI index (World Bank estimate),SI.POV.GINI,Ghana,GHA,..,42.77,..
GINI index (World Bank estimate),SI.POV.GINI,Greece,GRC,..,35.1,34.48
GINI index (World Bank estimate),SI.POV.GINI,Greenland,GRL,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Grenada,GRD,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guam,GUM,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,54.84,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea,GIN,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,..,..,50.66
GINI index (World Bank estimate),SI.POV.GINI,Guyana,GUY,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Haiti,HTI,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Honduras,HND,..,59.51,53.39
GINI index (World Bank estimate),SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Hungary,HUN,27.22,30.19,29.37
GINI index (World Bank estimate),SI.POV.GINI,Iceland,ISL,..,29.38,26.43
GINI index (World Bank estimate),SI.POV.GINI,India,IND,..,..,..
GINI index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,..,34.01,35.57
GINI index (World Bank estimate),SI.POV.GINI,"Iran, Islamic Rep.",IRN,..,38.34,..
GINI index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,..,..,..
