Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2005 [YR2005],2010 [YR2010]
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,257.175794656273,366.324812864995
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Albania,ALB,2085.58272052769,2781.57214420532,3685.56852214876
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Algeria,DZA,2530.01144247309,3102.03703144816,3233.17676989324
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Andorra,ADO,33700.762128571,39990.3304085679,33512.0155315848
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Angola,AGO,1145.23627658563,1576.16204711766,2373.76522508248
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,10897.778166629,12079.8656950416,11602.1422266268
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Argentina,ARG,5449.98907654465,5694.41924875639,7143.50441312573
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Armenia,ARM,895.603701101464,1625.40776912682,1997.05226101941
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Aruba,ABW,23902.9208916523,23302.8319880055,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Australia,AUS,30856.3097808917,33995.8516729703,36175.1125065983
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Austria,AUT,36064.9620533784,38242.0500749095,40099.9661604171
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,874.096082908875,1578.36733030667,3126.72404038035
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,23831.3024531889,23405.8795479327,21109.0693815754
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bahrain,BHR,18619.9535683283,18418.0726743768,16591.8131412483
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,412.853985077695,485.852888073473,614.948382131348
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Barbados,BRB,13665.8247248786,14201.8809326565,14426.3811534824
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belarus,BLR,2103.05861367591,3126.36777779462,4524.15816791108
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belgium,BEL,34634.1934544368,36927.9990776057,37745.501703614
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belize,BLZ,3477.47178216163,3933.2343731798,3935.10093956136
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Benin,BEN,512.955285134636,532.610998244811,550.321695668928
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bermuda,BMU,69275.6111374094,75882.0338560339,76393.8313843748
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bhutan,BTN,991.878348506145,1257.54935298307,1788.57965890826
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bolivia,BOL,983.4310178853,1046.43270778732,1205.2502736446
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,2257.01900267352,2844.3919876001,3324.70904957726
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Botswana,BWA,4786.79475516214,5327.90102715923,6061.0506140941
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Brazil,BRA,4406.70906042886,4733.18354621717,5580.96574479185
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,26023.3414355001,26337.957673401,25043.6483460475
